ind,sexe,age,taille,poids
ind_1,M,3.1,95.3,15.1
ind_1,M,5,109.1,18
ind_1,M,5.9,115,20.7
ind_1,M,8.3,126.1,28.6
ind_1,M,9.3,131,30.7
ind_1,M,10,136.4,34.8
ind_1,M,11,141.5,38.1
ind_1,M,12,147.5,42.8
ind_1,M,14,161.3,55.5
ind_1,M,15.2,167.5,61.2
ind_1,M,16.1,171.5,68.8
ind_1,M,17.2,175.5,73.5
ind_1,M,17.8,176.2,75.6
ind_2,F,4,104.8,19.9
ind_2,F,6,116.8,25.6
ind_2,F,7,122.7,29.7
ind_2,F,8,128.6,32.3
ind_2,F,9,134.7,35.1
ind_2,F,10,141.6,40.8
ind_2,F,13.1,159.6,58.6
ind_2,F,15.1,165.3,70.6
ind_2,F,16,166.1,70.7
ind_2,F,16.9,166.1,72.5
ind_3,M,1.2,80.7,13
ind_3,M,2,90.5,15.3
ind_3,M,3.2,100.3,17.3
ind_3,M,4.1,107.9,20.3
ind_3,M,4.9,114.6,21.7
ind_3,M,6.3,120.3,24.7
ind_3,M,8.1,133.1,32.7
ind_3,M,11,151.4,48.9
ind_3,M,12.1,158.5,54.2
ind_3,M,13.2,166.3,64.7
ind_3,M,15.1,179.8,79.6
ind_3,M,15.9,184.6,92.6
ind_3,M,17.1,188.7,94.4
ind_3,M,18,188.8,98.6
ind_4,M,1,75.7,11.7
ind_4,M,2,85.7,13.6
ind_4,M,3,95.7,15.6
ind_4,M,4.1,102.6,18.1
ind_4,M,6.1,115.6,22.5
ind_4,M,7.4,121.6,27
ind_4,M,8,126.5,28.9
ind_4,M,10,137.2,37.3
ind_4,M,11.3,142.2,42.2
ind_4,M,12,148.2,45.6
ind_4,M,13.1,155.1,53.7
ind_4,M,14.2,162.1,60.6
ind_4,M,15,168.2,65.4
ind_4,M,15.9,172.2,74.3
ind_4,M,17.9,177.1,80.5
ind_5,F,1,72.1,7.6
ind_5,F,3.1,92.8,11.7
ind_5,F,3.9,100.2,10.7
ind_5,F,6,112.4,13.8
ind_5,F,7.2,118.3,13.6
ind_5,F,7.8,123.9,15.5
ind_5,F,9.1,129.9,16.5
ind_5,F,10.2,134.6,20.1
ind_5,F,11,139.9,23.9
ind_5,F,12,146.2,26
ind_5,F,13.2,150,26.7
ind_5,F,14,154.2,29.5
ind_5,F,15.2,155.9,31
ind_5,F,16,156.5,36.2
ind_5,F,17,156.6,35.8
ind_6,F,2,85,10.6
ind_6,F,3.3,94,12.8
ind_6,F,5.2,107.9,13.9
ind_6,F,6.2,113.7,15.9
ind_6,F,7.1,119.7,16.5
ind_6,F,8.1,125.6,18.5
ind_6,F,8.9,131.6,19.7
ind_6,F,10.3,137.3,24.4
ind_6,F,11.3,143.2,27.8
ind_6,F,13,153.9,34.5
ind_6,F,13.8,157.7,37.9
ind_6,F,16,160.7,44.6
ind_6,F,17,160.8,45.1
ind_6,F,18.1,160.9,44.8
ind_7,F,1.4,73.3,10.3
ind_7,F,2.1,85.3,12.4
ind_7,F,2.8,94.3,14.5
ind_7,F,4.2,102.2,16.2
ind_7,F,5,108.1,17.8
ind_7,F,7,120.1,23.9
ind_7,F,8,126.1,26.4
ind_7,F,9.2,132.2,28.6
ind_7,F,11.1,143.9,39.2
ind_7,F,12.3,149.8,43.7
ind_7,F,12.8,154.6,48.9
ind_7,F,14.1,158.6,52.8
ind_7,F,15.1,160.7,56.8
ind_7,F,16,161.7,58.4
ind_7,F,18.1,161.8,58.5
ind_8,F,1.1,75.2,11.1
ind_8,F,2,87.2,13.1
ind_8,F,3,96.1,15
ind_8,F,4.1,104.3,17.3
ind_8,F,5.1,110.2,18.7
ind_8,F,6,116.1,22.5
ind_8,F,7,122.1,26
ind_8,F,8.3,128.2,28
ind_8,F,9.4,134.1,30.2
ind_8,F,10.1,140.6,35.8
ind_8,F,11.1,146.5,41.3
ind_8,F,12.8,158.1,51.3
ind_8,F,14.1,162.3,55
ind_8,F,16.3,165.2,60.8
